LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC1769,VIC241,Ballarat,Mount Bolton,Grampians,BALLARAT,,VIC,3352
VIC177,VIC169,Central Goldfields,Bealiba,Loddon Mallee,CENTRAL GOLDFIELDS,,VIC,3475
VIC177,VIC185,Loddon,Bealiba,Loddon Mallee,LODDON,,VIC,3475
VIC1770,VIC199,Benalla,Mount Bruno,Hume,BENALLA,,VIC,3675
VIC1771,VIC242,Alpine,Mount Buffalo,Hume,ALPINE,,VIC,3740
VIC1772,VIC218,Wellington,Mount Buller,Gippsland,WELLINGTON,,VIC,3858
VIC1772,VIC240,Mount Stirling Alpine Resort,Mount Buller,Hume,MOUNT STIRLING ALPINE RESORT,Unincorporated,VIC,3723
VIC1772,VIC244,Mansfield,Mount Buller,Hume,MANSFIELD,,VIC,3723
VIC1772,VIC246,Mount Buller Alpine Resort,Mount Buller,Hume,MOUNT BULLER ALPINE RESORT,Unincorporated,VIC,3723
VIC1773,VIC212,Cardinia,Mount Burnett,Greater Metropolitan Melbourne,CARDINIA,Outer Metropolitan,VIC,3781
VIC1774,VIC230,Golden Plains,Mount Bute,Grampians,GOLDEN PLAINS,,VIC,3360
VIC1774,VIC231,Corangamite,Mount Bute,Barwon South West,CORANGAMITE,,VIC,3324
VIC1775,VIC193,Greater Bendigo,Mount Camel,Loddon Mallee,GREATER BENDIGO,,VIC,3523
VIC1776,VIC169,Central Goldfields,Mount Cameron,Loddon Mallee,CENTRAL GOLDFIELDS,,VIC,3370
VIC1776,VIC94,Hepburn,Mount Cameron,Grampians,HEPBURN,,VIC,3370
VIC1777,VIC241,Ballarat,Mount Clear,Grampians,BALLARAT,,VIC,3350
VIC1778,VIC220,Ararat,Mount Cole,Grampians,ARARAT,,VIC,3377
VIC1779,VIC220,Ararat,Mount Cole Creek,Grampians,ARARAT,,VIC,3377
VIC178,VIC190,Moira,Bearii,Hume,MOIRA,,VIC,3641
VIC1780,VIC221,Wyndham,Mount Cottrell,Greater Metropolitan Melbourne,WYNDHAM,Outer Metropolitan,VIC,3024
VIC1780,VIC237,Melton,Mount Cottrell,Greater Metropolitan Melbourne,MELTON,Outer Metropolitan,VIC,3024
VIC1781,VIC206,Yarra Ranges,Mount Dandenong,Greater Metropolitan Melbourne,YARRA RANGES,Outer Metropolitan,VIC,3767
VIC1782,VIC236,Moorabool,Mount Doran,Grampians,MOORABOOL,,VIC,3334
VIC1783,VIC166,Northern Grampians,Mount Dryden,Grampians,NORTHERN GRAMPIANS,,VIC,3381
VIC1784,VIC215,Greater Geelong,Mount Duneed,Barwon South West,GREATER GEELONG,,VIC,3217
VIC1784,VIC225,Surf Coast,Mount Duneed,Barwon South West,SURF COAST,,VIC,3217
VIC1785,VIC178,South Gippsland,Mount Eccles,Gippsland,SOUTH GIPPSLAND,,VIC,3953
VIC1786,VIC178,South Gippsland,Mount Eccles South,Gippsland,SOUTH GIPPSLAND,,VIC,3953
VIC1787,VIC236,Moorabool,Mount Egerton,Grampians,MOORABOOL,,VIC,3352
